This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in North_America.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199110   3.25   2.37   3.03   3.52   1.76   1.46
199111  -2.80  -3.08  -2.92  -4.71  -3.98  -3.63
199112   2.97   4.76   6.99   8.18   9.86  10.60
199201  16.53  10.16  11.15   2.61   2.09   0.67
199202   6.18   3.62   4.86   2.27   2.30   0.95
199203  -1.30  -2.01  -2.39  -3.32  -2.12  -2.61
199204  -3.44  -2.92  -4.06  -0.14   0.59   0.02
199205   1.45   0.93  -0.43   1.24   0.32   0.95
199206  -3.69  -3.34  -4.06  -1.73  -1.97  -2.05
199207   3.06   2.46   3.97   3.16   4.65   4.46
199208  -3.29  -1.10  -1.48  -3.92  -1.55  -1.28
199209   1.01   1.85   1.52   0.52   1.00   1.32
199210   2.25   2.65   3.45   1.78   1.68   2.72
199211   7.47   7.98   7.70   3.96   3.35   5.22
199212   5.18   3.83   4.27   4.05   2.57   2.58
199301   6.87   5.22   5.33   3.03   1.26   0.63
199302   0.49  -0.80  -2.94   0.95   1.60  -1.12
199303   3.81   3.40   3.11   3.91   2.98   2.64
199304  -0.68  -2.74  -2.36  -1.26  -1.69  -3.08
199305   5.14   4.13   3.41   3.35   2.52   4.33
199306   2.25   0.78   1.26   1.40   0.58  -0.49
199307   1.24   1.34   0.49   0.73  -0.40   0.06
199308   3.56   4.82   4.74   5.14   3.62   4.05
199309   3.17   1.08   2.73  -0.01   0.30   0.77
199310   5.52   3.89   5.79   2.02   0.45   2.75
199311  -2.02  -2.36  -1.04  -0.97  -2.42  -2.25
199312   1.56   2.87   1.66   3.84   3.61   2.83
199401   5.76   3.55   4.35   3.85   2.49   2.59
