This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoBM_LoOP,LoBM_HiOP,HiBM_LoOP,HiBM_HiOP
199211  ,-2.82  ,-0.05  ,-1.15  ,-1.03
199212   ,0.21  ,-0.86   ,0.65   ,0.97
199301   ,1.99   ,0.39   ,0.26   ,1.27
199302   ,7.31   ,7.09   ,6.32   ,5.97
199303   ,3.61   ,2.14   ,2.31   ,2.61
199304   ,2.90   ,4.04   ,7.19   ,8.61
199305   ,2.84   ,3.72   ,7.86   ,4.60
199306  ,-2.47  ,-1.39  ,-2.17  ,-0.58
199307   ,2.72   ,2.70   ,4.70   ,2.25
199308   ,1.50   ,4.99   ,9.48   ,6.56
199309   ,7.72   ,4.52   ,5.72   ,6.11
199310  ,12.22   ,8.71  ,11.20  ,10.43
199311   ,5.50   ,6.98   ,8.79   ,7.82
199312  ,13.52  ,14.03  ,16.12  ,13.88
199401  ,-3.02   ,0.62   ,0.52  ,-0.02
199402   ,2.30   ,1.34   ,2.34   ,1.55
199403  ,-5.55  ,-7.10  ,-6.45  ,-4.98
199404  ,-2.04   ,1.96   ,0.71   ,0.61
199405   ,1.48   ,1.19  ,-0.22   ,2.93
199406  ,-0.25  ,-0.70   ,1.73   ,0.77
199407   ,3.78   ,4.00   ,4.33   ,4.48
199408   ,5.26   ,8.77   ,6.26   ,7.75
199409   ,2.80   ,0.96   ,1.99   ,2.19
199410   ,5.19   ,2.37   ,2.34   ,1.54
199411  ,-2.38  ,-2.80  ,-2.19  ,-2.90
199412   ,1.05  ,-3.31   ,1.21   ,0.60
199501 ,-12.08  ,-9.88 ,-10.26 ,-10.21
199502  ,-1.52   ,0.67   ,1.18   ,1.82
199503   ,1.12   ,2.32  ,-0.50   ,2.15
199504  ,-3.45  ,-2.46  ,-2.69  ,-1.90
199505   ,1.97   ,3.89   ,3.26   ,4.71
199506  ,-0.67  ,-0.46  ,-0.76   ,2.20
199507   ,2.90   ,1.96   ,3.10   ,3.44
199508  ,-4.17  ,-4.21  ,-4.23  ,-4.05
199509   ,1.66   ,1.03   ,1.13  ,-0.32
199510  ,-1.29  ,-1.22  ,-2.61  ,-2.65
199511  ,-4.47  ,-5.22  ,-4.17  ,-3.59
199512  ,-1.30   ,2.16   ,0.57   ,2.42
199601   ,7.31   ,5.73   ,4.40   ,6.69
199602  ,-1.67   ,2.68   ,0.33   ,2.68
199603   ,1.31   ,2.67   ,1.58   ,3.35
199604  ,10.27   ,4.36   ,6.55   ,5.27
