This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
198511,   4.6814,   7.3056,   7.9101,   6.0379,   7.3263,   7.4787
198512,   2.9209,   4.6006,   4.7430,   3.5691,   4.5018,   5.3561
198601,   1.3471,   1.7297,   2.5381,  -1.4003,   1.5607,   1.5064
198602,   5.3687,   7.7249,   7.6537,   6.5466,   9.1032,   7.0513
198603,   5.2990,   5.2659,   4.4445,   5.7485,   6.0731,   4.6325
198604,   0.9522,   1.1210,   2.1757,   0.6860,  -2.6763,  -0.5823
198605,   3.7146,   4.8761,   3.5679,   6.3619,   5.4594,   4.2869
198606,  -0.0003,   1.5990,  -0.0426,   1.1510,   3.0397,  -0.5456
198607,  -9.6848,  -6.9006, -10.1266,  -6.5071,  -3.6492,  -7.2916
198608,   3.8575,   3.6064,   2.5156,  10.5559,   7.3715,   5.4258
198609,  -5.1915,  -5.6322,  -7.4960,  -4.0608,  -9.3945,  -8.9926
198610,   3.5484,   2.8566,   3.7234,   6.4893,   5.8023,   4.5373
198611,   0.1016,   0.3842,  -0.3526,   2.1040,   2.3551,   1.3365
198612,  -3.1837,  -1.8494,  -3.0220,  -3.1541,  -2.2479,  -3.2599
198701,  11.8801,  10.0487,  12.0382,  11.1244,  13.4113,  13.1383
198702,   7.6722,   6.7355,   8.0233,   1.7440,   3.2462,   6.9181
198703,   4.2760,   1.6406,   1.0114,   5.9354,   1.5204,   1.1374
198704,  -1.8131,  -2.9953,  -3.5042,  -0.3122,  -2.0765,  -1.0614
198705,   0.7508,  -0.0852,  -0.0998,   2.1055,   0.5701,   0.3082
198706,   2.6077,   2.6902,   2.4065,   5.3203,   5.6173,   3.8594
198707,   5.2077,   3.4306,   2.3524,   5.4815,   3.5502,   5.2267
198708,   1.2127,   3.8354,   3.7681,   3.8946,   4.0852,   4.5219
198709,  -0.6635,  -1.4069,  -2.6083,  -1.2181,  -2.0659,  -3.0627
198710, -29.8240, -26.5142, -32.0576, -21.0628, -20.0830, -23.6115
198711,  -4.5505,  -2.8708,  -6.4983,  -8.7585,  -7.1681,  -8.2293
