This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
201811  -1.79  -2.25  -2.56  -0.70  -1.29  -1.07
201812  -6.50  -4.79  -3.69  -3.66  -4.74  -4.56
201901   7.56   7.03   6.38   6.73   6.45   5.99
201902   2.20   1.28   1.91   4.43   3.09   2.28
201903  -0.28  -1.50  -0.77   2.90   1.11  -1.26
201904   4.86   4.69   2.73   4.03   3.88   4.05
201905  -3.33  -5.28  -3.20  -3.42  -5.72  -6.64
201906   3.89   3.88   3.29   7.05   6.91   5.01
201907  -4.55  -3.58  -2.59  -1.59  -1.81  -3.48
201908  -2.92  -3.47  -2.34  -0.31  -1.85  -4.73
201909   1.14   1.88   2.25   0.31   2.16   5.37
201910   4.89   4.01   4.03   4.00   2.23   3.84
201911   5.94   3.11   2.33   2.10   2.01   1.13
201912   6.77   6.52   6.97   3.72   3.84   4.32
202001  -1.44  -2.29  -2.95  -0.59  -2.18  -4.99
202002  -8.44  -8.97  -8.63  -8.23  -9.10  -9.43
202003 -15.36 -20.08 -23.32  -8.59 -14.65 -22.56
202004  14.11  11.11   8.29   6.96   6.43   5.05
202005   8.79   5.73   4.28   6.71   5.48   2.98
202006   3.34   3.56   2.97   2.51   4.68   6.30



  Average Equal Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007   5.72   4.31   4.74   5.61   4.84   4.04
199008  -8.29  -9.75  -9.18 -11.05 -12.01 -12.57
199009  -9.58  -9.63  -9.24 -12.96 -13.18 -13.23
199010   3.62   4.21   2.95   7.05   6.66   5.48
199011  -3.55  -3.06  -2.51  -1.67  -1.28  -1.77
199012  -0.84  -0.54  -0.04  -1.25  -0.53  -0.15
199101  -2.80  -2.42  -2.21   1.06   0.43   0.94
199102  10.12   9.87   8.83   9.87  10.40  12.50
199103  -1.44  -2.12  -2.19  -5.72  -6.06  -5.46
199104  -0.22  -0.30  -1.29  -0.77  -1.11  -2.28
199105  -2.03  -2.86  -3.00   0.29   0.70   0.77
199106  -6.77  -7.40  -6.65  -5.93  -6.63  -6.86
199107   2.31   2.98   2.65   3.80   4.48   4.45
199108   0.19   1.50   0.52   1.63   1.19   3.15
199109   5.21   7.22   7.13   2.83   2.80   2.89
199110  -3.39  -2.21  -3.21  -2.89  -3.60  -3.54
199111  -0.55  -0.96  -1.19  -1.48  -3.00  -2.87
199112   3.65   3.61   3.31   5.35   5.16   4.38
199201  -2.13  -2.54  -2.35  -0.81   1.75   1.88
199202   0.30  -0.69  -0.22   0.03  -0.23  -0.59
199203  -3.78  -3.58  -3.07  -2.73  -3.01  -2.98
199204   3.24   5.25   6.40   3.62   4.79   4.83
199205   6.52   6.67   7.55   3.43   4.95   4.86
199206  -0.46  -0.28  -0.37  -0.55  -1.76  -2.19
199207  -4.64  -4.86  -5.78  -3.51  -5.43  -6.86
199208  -2.08  -1.59  -1.99  -2.24  -1.41  -2.25
199209  -6.10  -7.24  -7.82  -3.49  -4.58  -7.11
199210 -10.15 -10.89  -8.71  -6.50  -6.84  -3.18
199211  -3.17  -2.88  -2.12  -0.95  -0.57  -1.12
199212   3.12   2.28   0.05   0.77   1.81   0.88
199301   7.15   5.40   6.10   1.75   2.85   5.51
199302   1.82   1.17   1.65   0.93   2.17   1.25
199303   7.59   6.90   8.72   5.72   5.45   5.62
199304   5.95   5.65   7.07   2.28   4.10   6.87
199305   0.89   2.64   4.10   0.81   0.58   2.14
199306  -4.77  -4.85  -3.63  -3.91  -3.99  -3.35
199307  -0.91   0.24   4.67   1.06   1.84   3.33
199308   8.88   8.07  11.19   8.06   8.92  11.43
199309   1.31   1.21   1.69  -1.07   0.12  -1.88
199310  -1.04   0.91   1.13   1.93   2.20   1.81
199311  -1.08  -0.01  -0.30  -1.46  -2.28  -3.29
199312   3.57   5.37   5.92   6.10   7.70  10.17
199401  11.44  11.27  16.20   6.28   8.06  11.66
199402   0.68   1.22   2.87  -1.76  -2.33  -1.69
199403  -1.99  -0.32   0.23  -1.60  -1.41   0.83
199404   3.76   3.04   4.72   3.43   4.60   6.26
199405  -2.04  -2.04  -0.85  -3.61  -3.84  -3.97
199406  -1.63  -0.62  -0.63  -0.21  -1.42  -1.98
199407   0.87   2.13   1.76   4.21   5.34   3.93
199408   2.44   1.20   1.29   1.92   1.86  -0.39
199409  -0.74  -0.56   0.93  -2.48  -3.46  -1.87
